"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24200","addServiceAndProductAndCheckout(String, String, String, String, String, String, String, String) addServiceAndProductAndCheckout[2] - Pepitas + serwr","","2026-03-12","passed","2026-03-12","","com.example.screenplay.tests.PurchaseFlowTest","com.example.screenplay.tests.PurchaseFlowTest","addServiceAndProductAndCheckout"
"","2513","registerSuccess(String, String, String, String, String, String, String) registerSuccess[2] - user2{timestamp}@example.com","","2026-03-12","passed","2026-03-12","","com.example.screenplay.tests.RegisterTest","com.example.screenplay.tests.RegisterTest","registerSuccess"
"","9286","addNearOutOfStockProductAndCheckout(String, String, String, String, String, String) addNearOutOfStockProductAndCheckout[1] - https://condominio-marketplace.netlify.app/productos/db69d3cf-76f6-4d63-bf0f-04090f619a5f","","2026-03-12","passed","2026-03-12","","com.example.screenplay.tests.PurchaseFlowTest","com.example.screenplay.tests.PurchaseFlowTest","addNearOutOfStockProductAndCheckout"
"","24717","addServiceAndProductAndCheckout(String, String, String, String, String, String, String, String) addServiceAndProductAndCheckout[1] - Azucar + Tomatodos","","2026-03-12","passed","2026-03-12","","com.example.screenplay.tests.PurchaseFlowTest","com.example.screenplay.tests.PurchaseFlowTest","addServiceAndProductAndCheckout"
"","2382","loginSuccess(String, String) loginSuccess[1] - mairafe@gmail.com","","2026-03-12","passed","2026-03-12","","com.example.screenplay.tests.LoginTest","com.example.screenplay.tests.LoginTest","loginSuccess"
"","16194","addOneProductAndCheckout(String, String, String, String, String, String) addOneProductAndCheckout[1] - Gase","","2026-03-12","passed","2026-03-12","","com.example.screenplay.tests.PurchaseFlowTest","com.example.screenplay.tests.PurchaseFlowTest","addOneProductAndCheckout"
"","2063","registerSuccess(String, String, String, String, String, String, String) registerSuccess[1] - user{timestamp}@example.com","","2026-03-12","passed","2026-03-12","","com.example.screenplay.tests.RegisterTest","com.example.screenplay.tests.RegisterTest","registerSuccess"
"","3477","registerFailure(String, String, String, String, String, String, String) registerFailure[1] - dup{timestamp}@example.com","","2026-03-12","passed","2026-03-12","","com.example.screenplay.tests.RegisterTest","com.example.screenplay.tests.RegisterTest","registerFailure"
"","34918","addFiveProductsAndEmptyCart(String, int, String, String) addFiveProductsAndEmptyCart[2] - ""arroz paisana"" x5","","2026-03-12","broken","2026-03-12","","com.example.screenplay.tests.PurchaseFlowTest","com.example.screenplay.tests.PurchaseFlowTest","addFiveProductsAndEmptyCart"
"","3632","loginFailure(String, String) loginFailure[1] - another-success@example.com","","2026-03-12","passed","2026-03-12","","com.example.screenplay.tests.LoginTest","com.example.screenplay.tests.LoginTest","loginFailure"
"","34350","addFiveProductsAndEmptyCart(String, int, String, String) addFiveProductsAndEmptyCart[1] - ""Producto Estado 1772495193655"" x10","","2026-03-12","broken","2026-03-12","","com.example.screenplay.tests.PurchaseFlowTest","com.example.screenplay.tests.PurchaseFlowTest","addFiveProductsAndEmptyCart"
"","1254","loginFailure(String, String) loginFailure[2] - user2@example.com","","2026-03-12","passed","2026-03-12","","com.example.screenplay.tests.LoginTest","com.example.screenplay.tests.LoginTest","loginFailure"
"","16117","addOneProductAndCheckout(String, String, String, String, String, String) addOneProductAndCheckout[2] - Aceites","","2026-03-12","passed","2026-03-12","","com.example.screenplay.tests.PurchaseFlowTest","com.example.screenplay.tests.PurchaseFlowTest","addOneProductAndCheckout"
